idcliente;retorno_fornecedora
49545;10 - Cancelado
49560;10 - Cancelado
49575;10 - Cancelado
49589;10 - Cancelado
49611;10 - Cancelado
49616;10 - Cancelado
49634;10 - Cancelado
49644;10 - Cancelado
49651;10 - Cancelado
49686;10 - Cancelado
49699;10 - Cancelado
49705;10 - Cancelado
49714;10 - Cancelado
49728;10 - Cancelado
49749;10 - Cancelado
49752;10 - Cancelado
49757;10 - Cancelado
49770;10 - Cancelado
49773;10 - Cancelado
49824;10 - Cancelado
49848;10 - Cancelado
49896;10 - Cancelado
49925;10 - Cancelado
49927;10 - Cancelado
49962;10 - Cancelado
49963;10 - Cancelado
49969;10 - Cancelado
49970;10 - Cancelado
49995;10 - Cancelado
49997;10 - Cancelado
50029;10 - Cancelado
50048;10 - Cancelado
50084;10 - Cancelado
50085;10 - Cancelado
50089;10 - Cancelado
50111;10 - Cancelado
50149;10 - Cancelado
50161;10 - Cancelado
50164;10 - Cancelado
50185;10 - Cancelado
50200;10 - Cancelado
50231;10 - Cancelado
50240;10 - Cancelado
50267;10 - Cancelado
50273;10 - Cancelado
50316;10 - Cancelado
50326;10 - Cancelado
50328;10 - Cancelado
50332;10 - Cancelado
50333;10 - Cancelado
50334;10 - Cancelado
50341;10 - Cancelado
50400;10 - Cancelado
50403;10 - Cancelado
50435;10 - Cancelado
50443;10 - Cancelado
50487;10 - Cancelado
50539;10 - Cancelado
50540;10 - Cancelado
50550;10 - Cancelado
50555;10 - Cancelado
50604;10 - Cancelado
50638;10 - Cancelado
50685;10 - Cancelado
50754;10 - Cancelado
50757;10 - Cancelado
50772;10 - Cancelado
50785;10 - Cancelado
50794;10 - Cancelado
50795;10 - Cancelado
50855;10 - Cancelado
50860;10 - Cancelado
50885;10 - Cancelado
50897;10 - Cancelado
50908;10 - Cancelado
50909;10 - Cancelado
50930;10 - Cancelado
50942;10 - Cancelado
50964;10 - Cancelado
50992;10 - Cancelado
51000;10 - Cancelado
51010;10 - Cancelado
51012;10 - Cancelado
51027;10 - Cancelado
51037;10 - Cancelado
51089;10 - Cancelado
51090;10 - Cancelado
51149;10 - Cancelado
51171;10 - Cancelado
51183;10 - Cancelado
51190;10 - Cancelado
51200;10 - Cancelado
51203;10 - Cancelado
51205;10 - Cancelado
51210;10 - Cancelado
51213;10 - Cancelado
51231;10 - Cancelado
51232;10 - Cancelado
51237;10 - Cancelado
51240;10 - Cancelado
51282;10 - Cancelado
51285;10 - Cancelado
51301;10 - Cancelado
51305;10 - Cancelado
51311;10 - Cancelado
51342;10 - Cancelado
51351;10 - Cancelado
51365;10 - Cancelado
51369;10 - Cancelado
51383;10 - Cancelado
51390;10 - Cancelado
51391;10 - Cancelado
51394;10 - Cancelado
51399;10 - Cancelado
51423;10 - Cancelado
51432;10 - Cancelado
51456;10 - Cancelado
51462;10 - Cancelado
51471;10 - Cancelado
51473;10 - Cancelado
51502;10 - Cancelado
51504;10 - Cancelado
51515;10 - Cancelado
51525;10 - Cancelado
51529;10 - Cancelado
51539;10 - Cancelado
51542;10 - Cancelado
51608;10 - Cancelado
51630;10 - Cancelado
51631;10 - Cancelado
51634;10 - Cancelado
51635;10 - Cancelado
51659;10 - Cancelado
51728;10 - Cancelado
51729;10 - Cancelado
51730;10 - Cancelado
51740;10 - Cancelado
51773;10 - Cancelado
51775;10 - Cancelado
51780;10 - Cancelado
51782;10 - Cancelado
51789;10 - Cancelado
51792;10 - Cancelado
51796;10 - Cancelado
51798;10 - Cancelado
51804;10 - Cancelado
51822;10 - Cancelado
51832;10 - Cancelado
51907;10 - Cancelado
51919;10 - Cancelado
51923;10 - Cancelado
51952;10 - Cancelado
51962;10 - Cancelado
51969;10 - Cancelado
51974;10 - Cancelado
51980;10 - Cancelado
51988;10 - Cancelado
51990;10 - Cancelado
51992;10 - Cancelado
52028;10 - Cancelado
52042;10 - Cancelado
52049;10 - Cancelado
52050;10 - Cancelado
52051;10 - Cancelado
52056;10 - Cancelado
52097;10 - Cancelado
52099;10 - Cancelado
52108;10 - Cancelado
52124;10 - Cancelado
52125;10 - Cancelado
52155;10 - Cancelado
52164;10 - Cancelado
52170;10 - Cancelado
52172;10 - Cancelado
52223;10 - Cancelado
52278;10 - Cancelado
52279;10 - Cancelado
52287;10 - Cancelado
52288;10 - Cancelado
52297;10 - Cancelado
52304;10 - Cancelado
52327;10 - Cancelado
52329;10 - Cancelado
52332;10 - Cancelado
52373;10 - Cancelado
52374;10 - Cancelado
52382;10 - Cancelado
52410;10 - Cancelado
52424;10 - Cancelado
52433;10 - Cancelado
52434;10 - Cancelado
52443;10 - Cancelado
52445;10 - Cancelado
52453;10 - Cancelado
52454;10 - Cancelado
52480;10 - Cancelado
52510;10 - Cancelado
52524;10 - Cancelado
52577;10 - Cancelado
52593;10 - Cancelado
52624;10 - Cancelado
52641;10 - Cancelado
52650;10 - Cancelado
52655;10 - Cancelado
52666;10 - Cancelado
52672;10 - Cancelado
52675;10 - Cancelado
52678;10 - Cancelado
52696;10 - Cancelado
52711;10 - Cancelado
52775;10 - Cancelado
52787;10 - Cancelado
52825;10 - Cancelado
52833;10 - Cancelado
52849;10 - Cancelado
52878;10 - Cancelado
52890;10 - Cancelado
52904;10 - Cancelado
52925;10 - Cancelado
52946;10 - Cancelado
52980;10 - Cancelado
52986;10 - Cancelado
53001;10 - Cancelado
53012;10 - Cancelado
53021;10 - Cancelado
53053;10 - Cancelado
53075;10 - Cancelado
53092;10 - Cancelado
53093;10 - Cancelado
53105;10 - Cancelado
53115;10 - Cancelado
53124;10 - Cancelado
53137;10 - Cancelado
53198;10 - Cancelado
53201;10 - Cancelado
53211;10 - Cancelado
53214;10 - Cancelado
53240;10 - Cancelado
